Density,Interference,Sociality,residence_time,std_residence_time,mean_expected_consumption_rate,std_expected_consumption_rate,Replicate
2,0.5,1,1.123434576,0.025384872,0.766422931,0.024182995,51
2,0.5,1,1.130045401,0.026620919,0.772803936,0.025372241,52
2,0.5,1,1.129769228,0.027717109,0.757704117,0.028312805,53
2,0.5,1,1.132489066,0.026926001,0.763476538,0.027115381,54
2,0.5,1,1.126804036,0.025771841,0.765199382,0.02352565,55
2,0.5,1,1.131623707,0.025366952,0.763982404,0.020681699,56
2,0.5,1,1.126735895,0.026676572,0.752219897,0.029270837,57
2,0.5,1,1.130769664,0.025440877,0.771544029,0.022050387,58
2,0.5,1,1.130863568,0.025248975,0.778023426,0.022869069,59
2,0.5,1,1.12605425,0.02648739,0.765752334,0.026231881,60
2,1,0,1.00000313,0.015109303,0.88541391,0.010446705,51
2,1,0,1.000000482,0.015109118,0.884201081,0.010472083,52
2,1,0,1.000002889,0.015109286,0.886072004,0.010443624,53
2,1,0,1.000000482,0.015109118,0.884979054,0.010459795,54
2,1,0,1.000000482,0.015109118,0.885362357,0.010358311,55
2,1,0,1.000000482,0.015109118,0.885453229,0.010450727,56
2,1,0,1.000001204,0.015109169,0.884035276,0.010442334,57
2,1,0,1,0.015109085,0.885702144,0.010401475,58
2,1,0,1.000000722,0.015109135,0.88528283,0.010503501,59
2,1,0,1.000001204,0.015109169,0.885454994,0.010487547,60
2,1,0.5,1.053658057,0.01952332,0.821783596,0.016024856,51
2,1,0.5,1.053153626,0.019312344,0.821979239,0.015023964,52
2,1,0.5,1.054693647,0.019488149,0.82052884,0.01534575,53
2,1,0.5,1.054560737,0.019619486,0.820436389,0.0154517,54
2,1,0.5,1.056515862,0.019690379,0.821597951,0.015046132,55
2,1,0.5,1.055404667,0.01952141,0.82030294,0.014862009,56
2,1,0.5,1.053060444,0.019281919,0.821870088,0.01620211,57
2,1,0.5,1.053441838,0.019279816,0.821266125,0.015395995,58
2,1,0.5,1.053974922,0.019255466,0.822977741,0.014348007,59
2,1,0.5,1.051715935,0.019277384,0.825601038,0.013662519,60
2,1,1,1.097726614,0.022415311,0.74350375,0.029994512,51
2,1,1,1.102840517,0.022679028,0.748673303,0.029077975,52
2,1,1,1.100654004,0.02271468,0.729904463,0.031141459,53
2,1,1,1.103124395,0.022677105,0.740748171,0.028467278,54
2,1,1,1.099851006,0.022542001,0.751595405,0.022494928,55
2,1,1,1.103167013,0.022425578,0.741408144,0.027786656,56
2,1,1,1.10026033,0.022460091,0.749165692,0.023778665,57
2,1,1,1.100880577,0.022672075,0.739874342,0.03014974,58
2,1,1,1.10404417,0.023141465,0.74090432,0.026800233,59
2,1,1,1.098498551,0.022404561,0.745488327,0.026430497,60
5,0.1,0,1.049461667,0.017105891,0.875328213,0.013066705,51
5,0.1,0,1.049030094,0.016964852,0.875746076,0.012881049,52
5,0.1,0,1.049187853,0.017156507,0.875481718,0.013034085,53
5,0.1,0,1.049186793,0.017048612,0.875222365,0.012870862,54
5,0.1,0,1.049240728,0.017089831,0.875159884,0.012953343,55
5,0.1,0,1.048934939,0.017069687,0.876004838,0.012821142,56
5,0.1,0,1.049550177,0.017026264,0.874861798,0.0130501,57
5,0.1,0,1.049419193,0.016995264,0.874674744,0.012965222,58
5,0.1,0,1.049593902,0.017011815,0.874472254,0.013048304,59
5,0.1,0,1.049530048,0.017124958,0.875311632,0.013107055,60
5,0.1,0.5,1.125749569,0.026945969,0.826105777,0.017519349,51
5,0.1,0.5,1.131073864,0.028064795,0.824203864,0.017993729,52
5,0.1,0.5,1.13015274,0.026656076,0.825720652,0.017700462,53
5,0.1,0.5,1.131335061,0.028418969,0.821964729,0.01793255,54
5,0.1,0.5,1.128937867,0.027532302,0.822448844,0.018009262,55
5,0.1,0.5,1.1329373,0.028220909,0.826149808,0.01817314,56
5,0.1,0.5,1.127799657,0.026812352,0.823101237,0.017851753,57
5,0.1,0.5,1.131308768,0.027228785,0.824974566,0.017817164,58
5,0.1,0.5,1.132745062,0.026988379,0.824317908,0.018012008,59
5,0.1,0.5,1.132870942,0.026748501,0.825386698,0.017599145,60
5,0.1,1,1.158768541,0.041947493,0.800623167,0.02504443,51
5,0.1,1,1.161147918,0.03816718,0.805273617,0.023173436,52
5,0.1,1,1.16237252,0.039296042,0.805353432,0.023510187,53
5,0.1,1,1.16217354,0.036760602,0.798696837,0.022913679,54
5,0.1,1,1.159735317,0.037070379,0.800138909,0.023508727,55
5,0.1,1,1.163685439,0.038700695,0.801470922,0.022766737,56
5,0.1,1,1.161250105,0.039389217,0.796785359,0.023508735,57
5,0.1,1,1.160006048,0.040933989,0.801447475,0.023905137,58
5,0.1,1,1.155944494,0.039257439,0.800753286,0.023650038,59
5,0.1,1,1.157039652,0.038785636,0.802113632,0.023649056,60
5,0.5,0,1.000372052,0.015126511,0.873612869,0.012849333,51
5,0.5,0,1.000390254,0.015139494,0.873157535,0.012933051,52
5,0.5,0,1.000418859,0.01512161,0.873201542,0.013014231,53
5,0.5,0,1.000347588,0.015125561,0.874431526,0.012732945,54
5,0.5,0,1.000301937,0.015124617,0.876243839,0.012641958,55
5,0.5,0,1.000399115,0.015120669,0.872816626,0.012961321,56
5,0.5,0,1.000349515,0.015125689,0.873968528,0.012779056,57
5,0.5,0,1.000358279,0.015119342,0.874850374,0.012832338,58
5,0.5,0,1.000331697,0.015118874,0.875397143,0.012817936,59
5,0.5,0,1.0003734,0.015120022,0.874833887,0.012868929,60
5,0.5,0.5,1.082684145,0.018607114,0.795054446,0.0180589,51
5,0.5,0.5,1.086058902,0.018664061,0.791281255,0.016656055,52
5,0.5,0.5,1.083689349,0.018534765,0.793905978,0.016742453,53
5,0.5,0.5,1.083846144,0.018416085,0.794634084,0.017425162,54
5,0.5,0.5,1.084006792,0.018461186,0.79178959,0.016779552,55
5,0.5,0.5,1.082160403,0.018544923,0.795189536,0.01724346,56
5,0.5,0.5,1.082597946,0.018408734,0.792980923,0.017126444,57
5,0.5,0.5,1.083009197,0.018582204,0.794231307,0.017723959,58
5,0.5,0.5,1.083006693,0.018454125,0.793998478,0.01651501,59
5,0.5,0.5,1.084058222,0.01875964,0.795368532,0.017775287,60
5,0.5,1,1.105542249,0.021869571,0.732464691,0.027693982,51
5,0.5,1,1.106935491,0.02269667,0.728976381,0.030166423,52
5,0.5,1,1.109929625,0.021978216,0.728387719,0.026528388,53
5,0.5,1,1.110774663,0.021748276,0.724916469,0.025540161,54
5,0.5,1,1.108160382,0.022107381,0.725568985,0.02899553,55
5,0.5,1,1.105119344,0.021312889,0.727348406,0.026129632,56
5,0.5,1,1.104141975,0.021144226,0.72555426,0.026223743,57
5,0.5,1,1.106816932,0.021177684,0.726206006,0.024804758,58
5,0.5,1,1.107905638,0.02198557,0.733638892,0.028336629,59
5,0.5,1,1.10805704,0.021995869,0.731129045,0.02858763,60
5,1,0,1.00001358,0.015109512,0.874978019,0.012764158,51
5,1,0,1.000011943,0.015109446,0.874822073,0.012824697,52
5,1,0,1.000008572,0.015109332,0.87353026,0.012955235,53
5,1,0,1.00002976,0.015110043,0.873564501,0.012977483,54
5,1,0,1.000018492,0.015109665,0.874011122,0.012859527,55
5,1,0,1.000014832,0.01510954,0.874129307,0.012925725,56
5,1,0,1.00001358,0.015109506,0.873149459,0.012998251,57
5,1,0,1.000008186,0.015109311,0.872551113,0.013009151,58
5,1,0,1.000012617,0.015109475,0.872712797,0.012987935,59
