Density,Interference,Sociality,patch_value,residence_time,se
0.4,0.5,1,2.1,0,0
0.4,1,0.5,2.1,0,0
0.4,1,0,2.1,0,0
0.4,1,1,2.1,0,0
2,0.1,0,2.1,0,0
2,0.5,0,2.1,0,0
0.4,0.1,0.5,2.2,0,0
0.4,0.1,0,2.2,0,0
0.4,0.5,0.5,2.2,0,0
0.4,0.5,0,2.2,0,0
0.4,1,0.5,2.2,0,0
0.4,1,0,2.2,0,0
2,0.1,0,2.2,0,0
0.4,0.1,0.5,2.3,0,0
0.4,0.1,0,2.3,0,0
0.4,0.5,0.5,2.3,0,0
0.4,0.5,0,2.3,0,0
0.4,1,0.5,2.3,0,0
0.4,1,0,2.3,0,0
0.4,1,1,2.3,0,0
2,0.1,0,2.3,0,0
0.4,0.5,0,2.4,0,0
0.4,1,0,2.4,0,0
2,0.1,0.5,2.4,0,0
2,0.1,0,2.4,0,0
0.4,0.1,0,2.5,0,0
0.4,0.5,0,2.5,0,0
0.4,1,0.5,2.5,0,0
0.4,0.5,0.5,2.6,0,0
0.4,0.5,0,2.6,0,0
0.4,1,0,2.6,0,0
2,0.1,0,2.6,0,0
0.4,0.5,0.5,2.7,0,0
0.4,0.5,0,2.7,0,0
0.4,0.1,0,2.9,0,0
0.4,0.1,0,3.1,0,0
0.4,0.5,0,3.1,0,0
0.4,0.5,0,3.2,0,0
2,1,0.5,9.6,0,0
5,0.1,0,9.6,0,0
2,1,0.5,9.7,0,0
5,0.1,0.5,9.7,0,0
5,0.1,0,9.7,0,0
5,0.1,1,9.7,0,0
5,1,0.5,9.7,0,0
0.4,0.1,0,9.8,0,0
2,0.1,0,9.8,0,0
2,0.5,1,9.8,0,0
2,1,0.5,9.8,0,0
2,1,1,9.8,0,0
5,0.1,0.5,9.8,0,0
5,0.1,0,9.8,0,0
5,0.1,1,9.8,0,0
5,0.5,0.5,9.8,0,0
5,1,0.5,9.8,0,0
0.4,0.1,0.5,9.9,0,0
0.4,0.1,0,9.9,0,0
0.4,0.5,0.5,9.9,0,0
0.4,0.5,0,9.9,0,0
0.4,0.5,1,9.9,0,0
0.4,1,0.5,9.9,0,0
2,0.1,0,9.9,0,0
2,0.1,1,9.9,0,0
2,0.5,0.5,9.9,0,0
2,0.5,0,9.9,0,0
2,0.5,1,9.9,0,0
2,1,0.5,9.9,0,0
2,1,1,9.9,0,0
5,0.1,0.5,9.9,0,0
5,0.1,0,9.9,0,0
5,0.1,1,9.9,0,0
5,0.5,0.5,9.9,0,0
5,0.5,0,9.9,0,0
5,1,0.5,9.9,0,0
0.4,0.1,0.5,10,0,0
0.4,0.1,0,10,0,0
0.4,0.1,1,10,0,0
0.4,0.5,0.5,10,0,0
0.4,0.5,0,10,0,0
0.4,0.5,1,10,0,0
0.4,1,0.5,10,0,0
2,0.1,0,10,0,0
2,0.1,1,10,0,0
2,0.5,0.5,10,0,0
2,0.5,0,10,0,0
2,0.5,1,10,0,0
2,1,0.5,10,0,0
2,1,1,10,0,0
5,0.1,0.5,10,0,0
5,0.1,0,10,0,0
5,0.1,1,10,0,0
5,0.5,0.5,10,0,0
5,0.5,0,10,0,0
5,1,0.5,10,0,0
5,1,0,10,0,0
2,1,0,6.5,0.999999891,7.71E-08
2,1,0,6.9,1.000000091,9.12E-08
2,1,0,7,1.000000107,1.07E-07
2,1,0,7.1,1.000000127,1.27E-07
5,1,0,5.7,1.000000599,1.38E-07
5,1,0,5.6,1.000000638,1.39E-07
5,1,0,5.4,1.000000716,1.43E-07
5,1,0,5.8,1.000000725,1.54E-07
5,1,0,5.3,1.000000923,1.65E-07
5,1,0,5.5,1.000000971,1.69E-07
5,1,0,5.9,1.000000831,1.70E-07
5,1,0,6,1.000000916,1.83E-07
5,1,0,6.1,1.000000899,1.88E-07
5,1,0,5.2,1.000000412,2.11E-07
2,1,0,7.4,1.000000232,2.32E-07
5,1,0,6.2,1.000001598,2.59E-07
2,1,0,6.4,0.999998471,2.75E-07
5,1,0,6.3,1.000001872,2.92E-07
2,1,0,7.3,1.000000563,3.25E-07
5,1,0,6.4,1.000002753,3.71E-07
5,1,0,6.5,1.000003988,4.70E-07
2,1,0,7.6,1.000000745,5.27E-07
2,1,0,7.5,1.000001454,6.50E-07
5,1,0,6.6,1.000007443,6.79E-07
2,1,0,6.3,0.999988106,7.33E-07
5,1,0,5.1,0.999981556,7.46E-07
5,1,0,6.7,1.000007725,7.50E-07
0.4,1,0,7.8,0.99999862,9.76E-07
5,1,0,6.8,1.000012201,9.90E-07
5,1,0,6.9,1.000016278,1.23E-06
0.4,1,0,7.7,0.999996362,1.38E-06
2,1,0,7.7,1.000005308,1.60E-06
5,1,0,7,1.000025036,1.68E-06
2,0.5,0,6.4,1.000064113,1.81E-06
0.4,1,0,7.6,0.999991636,1.83E-06
2,0.5,0,6.5,1.000062663,1.87E-06
2,0.5,0,6.3,1.000056146,1.87E-06
2,0.5,0,6.6,1.000057068,1.88E-06
2,1,0,6.2,0.999915945,1.90E-06
5,1,0,7.1,1.000032411,2.06E-06
2,0.5,0,6.7,1.000062154,2.09E-06
2,0.5,0,6.8,1.000059146,2.18E-06
2,1,0,7.8,1.000008903,2.38E-06
2,0.5,0,6.9,1.000063811,2.44E-06
2,0.5,0,6.2,0.999998357,2.49E-06
2,0.5,0,7,1.000057966,2.52E-06
5,1,0,5,0.999759536,2.60E-06
0.4,1,0,7.5,0.999977634,2.65E-06
5,1,0,7.2,1.0000483,2.76E-06
5,0.5,0,5.8,1.000246496,2.84E-06
5,0.5,0,5.9,1.000237586,2.86E-06
5,0.5,0,6,1.000228804,2.89E-06
5,0.5,0,5.7,1.000267566,2.90E-06
5,0.5,0,6.1,1.000220634,2.93E-06
2,0.5,0,7.1,1.000066174,2.94E-06
5,0.5,0,5.6,1.000285596,2.94E-06
5,0.5,0,5.5,1.000310704,3.02E-06
5,0.5,0,6.2,1.000220552,3.03E-06
5,0.5,0,5.4,1.000344598,3.14E-06
5,0.5,0,6.3,1.000221457,3.17E-06
2,0.5,0,7.2,1.000066825,3.25E-06
5,0.5,0,5.3,1.000381848,3.27E-06
0.4,1,0,7.4,0.999957009,3.34E-06
5,0.5,0,5.2,1.000419567,3.40E-06
5,0.5,0,6.4,1.000234032,3.41E-06
2,1,0,7.9,1.000014532,3.52E-06
5,1,0,7.3,1.00006697,3.59E-06
2,1,0,6.1,0.999719347,3.61E-06
5,0.5,0,6.5,1.000239181,3.63E-06
0.4,0.5,0,7.7,1.000015175,3.65E-06
5,0.5,0,5.1,1.000432793,3.67E-06
2,0.5,0,6.1,0.999824299,3.77E-06
0.4,0.5,0,7.6,1.000008643,3.85E-06
0.4,0.5,0,7.5,0.999992795,3.85E-06
2,0.5,0,7.3,1.000081507,3.97E-06
5,0.5,0,6.6,1.0002581,3.99E-06
0.4,1,0,7.3,0.9999253,4.10E-06
0.4,0.5,0,7.4,0.999969995,4.14E-06
0.4,0.5,0,7.8,1.000019389,4.18E-06
0.4,0.5,0,7.9,1.0000189,4.32E-06
5,0.5,0,6.7,1.000286649,4.47E-06
5,0.5,0,5,1.000221366,4.74E-06
2,0.5,0,7.4,1.000096283,4.80E-06
5,1,0,7.4,1.000099042,4.86E-06
0.4,0.5,0,7.3,0.999933029,4.99E-06
5,0.5,0,6.8,1.000321599,5.07E-06
2,0.5,0,7.5,1.000093947,5.33E-06
2,1,0,8,1.000024436,5.33E-06
0.4,1,0,7.2,0.999863516,5.38E-06
2,1,0,6,0.999505705,5.56E-06
2,0.5,0,6,0.999599242,5.60E-06
0.4,0.5,0,7.2,0.999890879,5.60E-06
2,1,0,8.1,1.00002095,5.81E-06
5,0.5,0,6.9,1.000365354,5.83E-06
5,1,0,4.9,0.999030573,5.98E-06
0.4,1,0,7.1,0.999831575,6.05E-06
0.4,0.5,0,8,1.000025809,6.39E-06
0.4,0.5,0,7.1,0.999849413,6.60E-06
5,1,0,7.5,1.000150174,6.72E-06
2,0.5,0,7.6,1.000118693,6.80E-06
0.4,1,0,7,0.999809422,6.80E-06
5,0.5,0,7,1.000424143,6.81E-06
0.4,0.5,0,7,0.999826241,7.17E-06
2,1,0,5.9,0.999460122,7.32E-06
2,0.5,0,5.9,0.999524447,7.39E-06
0.4,0.5,0,8.2,1.000018987,7.51E-06
5,0.5,0,4.9,0.999521931,7.59E-06
0.4,1,0,6.9,0.999800441,7.61E-06
0.4,0.5,0,6.9,0.999827678,7.70E-06
5,0.5,0,7.1,1.00049217,8.00E-06
0.4,1,0,6.8,0.999814902,8.15E-06
2,0.5,0,7.7,1.000138275,8.35E-06
5,1,0,7.6,1.000181162,8.38E-06
0.4,0.5,0,8.1,1.000038796,8.43E-06
0.4,0.5,0,6.8,0.999824161,8.71E-06
2,1,0,5.8,0.999518902,8.88E-06
2,1,0,8.2,1.000036304,9.08E-06
0.4,1,0,6.7,0.999812478,9.19E-06
